Rk,Player,Pos,Tm,Salary
111,Larry Warford\WarfLa00,OG,NOR,$7650000
112,T.J. Carrie\CarrTr00,CB,CLE,$7500000
,Aaron Colvin\ColvAa00,CB,HOU,$7500000
,Travis Kelce\KelcTr00,TE,KAN,$7500000
,Jabaal Sheard\SheaJa00,DL,IND,$7500000
116,Kyle Rudolph\RudoKy00,TE,MIN,$7275000
117,Marqise Lee\LeexMa00,WR,JAX,$7250000
118,Star Lotulelei\LotuSt00,DT,BUF,$7150000
119,David DeCastro\DeCaDa00,G,PIT,$7070000
120,Tyrone Crawford\CrawTy00,DE,DAL,$7000000
,Donovan Smith\SmitDo02,OT,TAM,$7000000
,Marshal Yanda\YandMa20,T,BAL,$7000000
,Christian Kirksey\KirkCh00,OLB,CLE,$7000000
,Cameron Brate\BratCa00,TE,TAM,$7000000
,Richard Sherman\SherRi00,DB,SFO,$7000000
,Dont'a Hightower\HighDo01,ILB,NWE,$7000000
127,Albert Wilson\WilsAl02,WR,MIA,$6975000
128,Jerry Hughes\HughJe99,DE,BUF,$6800000
129,Damon Harrison\HarrDa03,DT,DET,$6750000
130,Trey Burton\BurtTr01,TE,CHI,$6700000
131,La'el Collins\CollLa01,OT,DAL,$6516750
132,Anthony Hitchens\HitcAn00,OLB,KAN,$6500000
,Zach Fulton\FultZa00,OG,HOU,$6500000
,Mario Addison\AddiMa00,DE,CAR,$6500000
,Jake Matthews\MattJa00,OT,ATL,$6500000
,Joel Bitonio\BitoJo00,OT,CLE,$6500000
,Marvin Jones\JoneMa02,WR,DET,$6500000
138,Kiko Alonso\AlonKi00,ILB,NOR,$6485000
139,Everson Griffen\GrifEv99,DE,MIN,$6400000
140,Byron Jones\JoneBy00,CB,DAL,$6266000
141,Anthony Castonzo\CastAn00,OL,IND,$6250000
142,Laurent Duvernay-Tardif\DuveLa00,OT,KAN,$6203000
143,LeSean McCoy\McCoLe01,RB,KAN,$6175000
144,Chris Hubbard\HubbCh00,G,CLE,$6150000
145,Stephon Tuitt\TuitSt00,DT,PIT,$6000000
,Travis Frederick\FredTr00,C,DAL,$6000000
,Robert Woods\WoodRo02,WR,LAR,$6000000
,Brian Winters\WintBr00,OG,NYJ,$6000000
,DaQuan Jones\JoneDa04,DT,TEN,$6000000
,Benardrick McKinney\McKiBe00,ILB,HOU,$6000000
,Mohamed Sanu\SanuMo00,WR,ATL,$6000000
,Mike Pouncey\PounMi00,OL,LAC,$6000000
,Robert Quinn\QuinRo00,DE,DAL,$6000000
,Mitchell Schwartz\SchwMi00,T,KAN,$6000000
155,Demario Davis\DaviDe00,OLB,NOR,$5950000
156,Adam Thielen\ThieAd00,WR,MIN,$5850000
157,Trent Murphy\MurpTr00,DE,BUF,$5800000
,Danny Trevathan\TrevDa00,OLB,CHI,$5800000
,Bryan Bulaga\BulaBr20,T,GNB,$5800000
160,D.J. Hayden\HaydDJ00,CB,JAX,$5750000
,Whitney Mercilus\MercWh00,DE,HOU,$5750000
162,David Johnson\JohnDa08,RB,ARI,$5700000
163,Melvin Gordon\GordMe00,RB,LAC,$5605000
164,Bobby McCain\McCaBo01,CB,MIA,$5600000
165,Weston Richburg\RichWe00,C,SFO,$5500000
,J.C. Tretter\TretJC00,OG,CLE,$5500000
,Taylor Gabriel\GabrTa00,WR,CHI,$5500000
,Greg Robinson\RobiGr01,OT,CLE,$5500000
,Marcus Cannon\CannMa00,OL,NWE,$5500000
,Brandon Linder\LindBr00,OG,JAX,$5500000
171,Trai Turner\TurnTr01,OG,CAR,$5297000
172,Ndamukong Suh\SuhxNd99,DT,TAM,$5250000
,Travis Benjamin\BenjTr00,WR,LAC,$5250000
,Eric Ebron\EbroEr00,TE,IND,$5250000
175,Jack Doyle\DoylJa00,TE,IND,$5150000
176,Russell Wilson\WilsRu00,QB,SEA,$5000000
,Bradley Roby\RobyBr00,CB,HOU,$5000000
,Ja'Wuan James\JameJa01,OT,DEN,$5000000
,Justin Pugh\PughJu00,OG,ARI,$5000000
,Nick Foles\FoleNi00,QB,JAX,$5000000
,Alejandro Villanueva\VillAl00,OL,PIT,$5000000
,Todd Gurley\GurlTo01,RB,LAR,$5000000
,Paul Richardson\RichPa01,WR,WAS,$5000000
,Tyrell Williams\WillTy00,WR,OAK,$5000000
,Trent Brown\BrowTr02,OT,OAK,$5000000
186,Robbie Gould\gouldrob01,K,SFO,$4971000
187,Dee Ford\FordDe00,DE,SFO,$4750000
,Vernon Davis\DaviVe00,TE,WAS,$4750000
,Morgan Moses\MoseMo00,OT,WAS,$4750000
190,Lamarcus Joyner\JoynLa00,CB,OAK,$4700000
191,Justin Britt\BritJu00,OT,SEA,$4500000
,Brandon Carr\CarrBr99,DB,BAL,$4500000
,Ben Jones\JoneBe01,C,TEN,$4500000
,Dontari Poe\PoexDo00,DT,CAR,$4500000
195,Rhett Ellison\ElliRh00,FB,NYG,$4475000
196,Mitch Morse\MorsMi00,OT,BUF,$4400000
197,Corey Linsley\LinsCo00,C,GNB,$4300000
198,Jared Goff\GoffJa00,QB,LAR,$4259683
199,Eric Weddle\WeddEr99,DB,LAR,$4250524
200,Kyle Van Noy\VanNKy00,OLB,NWE,$4250000
,D.J. Swearinger\SweaDJ00,FS,ARI,$4250000
,Danny Amendola\AmenDa00,WR,DET,$4250000
203,Vance McDonald\McDoVa00,TE,PIT,$4200000
,Kyle Juszczyk\JuszKy00,FB,SFO,$4200000
205,Eric Kendricks\KendEr00,ILB,MIN,$4150000
206,A.J. Klein\KleiAJ00,ILB,NOR,$4100000
207,Delanie Walker\WalkHu00,TE,TEN,$4080000
208,Dion Lewis\LewiDi00,RB,TEN,$4000000
,Allen Hurns\HurnAl01,WR,MIA,$4000000
,Patrick Robinson\RobiPa99,DB,NOR,$4000000
,Chase Daniel\DaniCh00,QB,CHI,$4000000
,Shaq Mason\MasoSh01,RG,NWE,$4000000
,Alec Ogletree\OgleAl00,OLB,NYG,$4000000
,Todd Davis\DaviTo01,LB,DEN,$4000000
215,Demar Dotson\DotsDe00,T,TAM,$3975000
216,Micah Hyde\HydeMi00,CB,BUF,$3950000
,Rashan Gary\GaryRa00,DL,GNB,$3950000
218,Tyler Lockett\LockTy00,WR,SEA,$3907000
219,Ezekiel Elliott\ElliEz00,RB,DAL,$3853137
220,John Brown\BrowJo02,WR,BUF,$3800000
221,Devonta Freeman\FreeDe00,RB,ATL,$3750000
,William Gholston\GholWi00,DE,TAM,$3750000
223,Jalen Ramsey\RamsJa00,CB,JAX,$3634227
224,Daniel Sorensen\SoreDa01,S,KAN,$3600000
225,Ricardo Allen\AlleRi00,CB,ATL,$3500000
,Denico Autry\AutrDe00,DE,IND,$3500000
,Devon Kennard\KennDe00,OLB,DET,$3500000
,Case Keenum\KeenCa00,QB,WAS,$3500000
,DeVante Parker\ParkDe01,WR,MIA,$3500000
,Jason Peters\PeteJa21,T,PHI,$3500000
