Rk,Player,Pos,Tm,Salary,NewPlayer
,Andrus Peat\PeatAn00,OT,NOR,"$9,625,000 ",Andrus Peat
13,Andy Dalton\DaltAn00,QB,CIN,"$16,000,000 ",Andy Dalton
,Andy Isabella\IsabAn00,WR,ARI,"$495,000 ",Andy Isabella
,Andy Janovich\JanoAn00,FB,DEN,"$720,000 ",Andy Janovich
,Andy Lee\LeexAn20,P,ARI,"$2,000,000 ",Andy Lee
,Angelo Blackson\BlacAn00,DT,HOU,"$2,000,000 ",Angelo Blackson
,Anthony Averett\AverAn00,CB,BAL,"$570,000 ",Anthony Averett
,Anthony Barr\BarrAn00,OLB,MIN,"$2,900,000 ",Anthony Barr
,Anthony Brown\BrowAn02,CB,DAL,"$2,025,000 ",Anthony Brown
141,Anthony Castonzo\CastAn00,OL,IND,"$6,250,000 ",Anthony Castonzo
813,Anthony Chickillo\ChicAn00,DE,PIT,"$806,000 ",Anthony Chickillo
,Anthony Firkser\FirkAn00,TE,TEN,"$570,000 ",Anthony Firkser
,Anthony Harris\HarrAn01,DB,MIN,"$3,095,000 ",Anthony Harris
132,Anthony Hitchens\HitcAn00,OLB,KAN,"$6,500,000 ",Anthony Hitchens
,Anthony Levine\LeviAn00,S,BAL,"$1,500,000 ",Anthony Levine
918,Anthony Miller\MillAn02,WR,CHI,"$723,350 ",Anthony Miller
,Anthony Nelson\NelsAn01,DL,TAM,"$495,000 ",Anthony Nelson
,Anthony Sherman\SherAn00,RB,KAN,"$930,000 ",Anthony Sherman
,Anthony Walker\WalkAn01,LB,IND,"$645,000 ",Anthony Walker
466,Antoine Bethea\BethAn20,DB,NYG,"$1,725,000 ",Antoine Bethea
,Antone Exum\ExumAn00,CB,SFO,"$805,000 ",Antone Exum
17,Antonio Brown\BrowAn04,WR,NWE,"$14,625,000 ",Antonio Brown
,Antonio Callaway\CallAn00,WR,CLE,"$570,000 ",Antonio Callaway
,Antony Auclair\AuclAn00,TE,TAM,"$645,000 ",Antony Auclair
,Antwaun Woods\WoodAn02,NT,DAL,"$570,000 ",Antwaun Woods
,Aqib Talib\TaliAq99,DB,LAR,"$8,000,000 ",Aqib Talib
1201,Arden Key\KeyxAr00,DE,OAK,"$624,250 ",Arden Key
79,Arik Armstead\ArmsAr01,DE,SFO,"$9,046,000 ",Arik Armstead
,Armani Watts\WattAr00,FS,KAN,"$570,000 ",Armani Watts
,Arthur Maulet\MaulAr00,CB,NYJ,"$645,000 ",Arthur Maulet
458,Artie Burns\BurnAr00,CB,PIT,"$1,757,861 ",Artie Burns
580,A'Shawn Robinson\RobiAS00,DT,DET,"$1,163,678 ",A'Shawn Robinson
,Auden Tate\TateAu00,WR,CIN,"$570,000 ",Auden Tate
,Austin Blythe\BlytAu00,C,LAR,"$2,025,000 ",Austin Blythe
,Austin Calitro\CaliAu00,LB,JAX,"$570,000 ",Austin Calitro
,Austin Carr\CarrAu00,WR,NOR,"$645,000 ",Austin Carr
798,Austin Corbett\CorbAu00,C,CLE,"$821,745 ",Austin Corbett
,Austin Cutting\CuttAu00,LS,MIN,"$495,000 ",Austin Cutting
,Austin Ekeler\EkelAu00,RB,LAC,"$645,000 ",Austin Ekeler
,Austin Hooper\HoopAu00,TE,ATL,"$2,025,000 ",Austin Hooper
573,Austin Johnson\JohnAu01,DT,TEN,"$1,222,122 ",Austin Johnson
,Austin Reiter\ReitAu00,C,KAN,"$975,000 ",Austin Reiter
,Austin Schlottmann\SchlAu00,G,DEN,"$495,000 ",Austin Schlottmann
,Austin Seibert\SeibAu00,K,CLE,"$495,000 ",Austin Seibert
,Avery Moss\MossAv00,DE,MIA,"$570,000 ",Avery Moss
,Avonte Maddox\MaddAv00,CB,PHI,"$570,000 ",Avonte Maddox
,Azeez Al-Shaair\AlShAz00,LB,SFO,"$495,000 ",Azeez Al-Shaair
252,B.J. Finney\FinnB.01,C,PIT,"$3,095,000 ",B.J. Finney
,B.J. Goodson\GoodB.00,OLB,GNB,"$720,000 ",B.J. Goodson
1034,B.J. Hill\HillB.00,DT,NYG,"$664,345 ",B.J. Hill
,B.W. Webb\WebbBW00,CB,CIN,"$1,000,000 ",B.W. Webb
,Baker Mayfield\MayfBa00,QB,CLE,"$570,000 ",Baker Mayfield
235,Barkevious Mingo\MingBa00,OLB,HOU,"$3,400,000 ",Barkevious Mingo
,Bashaud Breeland\BreeBa00,CB,KAN,"$805,000 ",Bashaud Breeland
,Beau Allen\AlleBe00,DT,TAM,"$2,000,000 ",Beau Allen
,Beau Brinkley\BrinBe00,LSTE,TEN,"$1,250,000 ",Beau Brinkley
509,Ben Banogu\BanoBe00,EDGE,IND,"$1,482,500 ",Ben Banogu
,Ben Braunecker\BrauBe00,TE,CHI,"$750,000 ",Ben Braunecker
,Ben Burr-Kirven\BurrBe00,LB,SEA,"$495,000 ",Ben Burr-Kirven
814,Ben Garland\GarlBe00,DL,SFO,"$805,000 ",Ben Garland
,Ben Gedeon\GedeBe00,ILB,MIN,"$645,000 ",Ben Gedeon
,Ben Jones\JoneBe01,C,TEN,"$4,500,000 ",Ben Jones
,Ben Koyack\KoyaBe00,TE,JAX,"$720,000 ",Ben Koyack
,Ben Niemann\NiemBe00,LB,KAN,"$570,000 ",Ben Niemann
,Ben Roethlisberger\RoetBe00,QB,PIT,"$2,500,000 ",Ben Roethlisberger
,Benardrick McKinney\McKiBe00,ILB,HOU,"$6,000,000 ",Benardrick McKinney
,Bennie Fowler\FowlBe00,WR,NYG,"$805,000 ",Bennie Fowler
,Benny Snell\SnelBe00,,PIT,"$495,000 ",Benny Snell
,Benson Mayowa\MayoBe00,DE,OAK,"$805,000 ",Benson Mayowa
,Bilal Nichols\NichBi00,DT,CHI,"$570,000 ",Bilal Nichols
,Bilal Powell\PoweBi00,RB,NYJ,"$930,000 ",Bilal Powell
639,Billy Price\PricBi01,C,CIN,"$1,012,386 ",Billy Price
,Billy Turner\TurnBi00,OT,GNB,"$1,350,000 ",Billy Turner
,Blake Bell\BellBl00,TE,KAN,"$805,000 ",Blake Bell
,Blake Cashman\CashBl00,LB,NYJ,"$495,000 ",Blake Cashman
,Blake Jarwin\JarwBl00,TE,DAL,"$645,000 ",Blake Jarwin
,Blake Martinez\MartBl01,ILB,GNB,"$2,025,000 ",Blake Martinez
,Blidi Wreh-Wilson\WrehBl00,CB,ATL,"$805,000 ",Blidi Wreh-Wilson
,Bobby Hart\HartBo00,OG,CIN,"$900,000 ",Bobby Hart
,Bobby Massie\MassBo00,T,CHI,"$2,400,000 ",Bobby Massie
164,Bobby McCain\McCaBo01,CB,MIA,"$5,600,000 ",Bobby McCain
,Bobby Okereke\OkerBo00,LB,IND,"$495,000 ",Bobby Okereke
,Bobby Wagner\WagnBo00,ILB,SEA,"$10,500,000 ",Bobby Wagner
,Bobo Wilson\WilsJe00,WR,TAM,"$645,000 ",Bobo Wilson
,Boston Scott\ScotBo02,RB,PHI,"$570,000 ",Boston Scott
812,Braden Smith\SmitBr06,OG,IND,"$806,986 ",Braden Smith
,Bradley Bozeman\BozeBr00,C,BAL,"$570,000 ",Bradley Bozeman
,Bradley Chubb\ChubBr00,DE,DEN,"$570,000 ",Bradley Chubb
,Bradley McDougald\McDoBr01,FS,SEA,"$2,900,000 ",Bradley McDougald
,Bradley Pinion\PiniBr00,P,TAM,"$805,000 ",Bradley Pinion
,Bradley Roby\RobyBr00,CB,HOU,"$5,000,000 ",Bradley Roby
,Bradley Sowell\SoweBr00,T,CHI,"$1,450,000 ",Bradley Sowell
,Branden Jackson\JackBr04,DE,SEA,"$645,000 ",Branden Jackson
,Brandin Cooks\CookBr00,WR,LAR,"$1,000,000 ",Brandin Cooks
,Brandon Bolden\BoldBr00,RB,NWE,"$1,000,000 ",Brandon Bolden
,Brandon Brooks\BrooBr00,G,PHI,"$8,000,000 ",Brandon Brooks
,Brandon Carr\CarrBr99,DB,BAL,"$4,500,000 ",Brandon Carr
,Brandon Copeland\CopeBr00,LB,NYJ,"$1,500,000 ",Brandon Copeland
,Brandon Dillon\DillBr00,TE,MIN,"$495,000 ",Brandon Dillon
,Brandon Dunn\DunnBr00,DT,HOU,"$2,025,000 ",Brandon Dunn
,Brandon Facyson\FacyBr00,CB,LAC,"$570,000 ",Brandon Facyson
,Brandon Graham\GrahBr99,DE,PHI,"$1,000,000 ",Brandon Graham
,Brandon Knight\KnigBr01,T,DAL,"$495,000 ",Brandon Knight
,Brandon Linder\LindBr00,OG,JAX,"$5,500,000 ",Brandon Linder
,Brandon McManus\McMaBr01,K,DEN,"$2,750,000 ",Brandon McManus
,Brandon Mebane\MebaBr99,DT,LAC,"$1,050,000 ",Brandon Mebane
1030,Brandon Parker\ParkBr01,OT,OAK,"$666,152 ",Brandon Parker
31,Brandon Scherff\ScheBr00,G,WAS,"$12,525,000 ",Brandon Scherff
,Brandon Shell\ShelBr00,OT,NYJ,"$2,025,000 ",Brandon Shell
71,Brandon Williams\WillBr02,DT,BAL,"$9,250,000 ",Brandon Williams
,Brandon Wilson\WilsBr01,CB,CIN,"$645,000 ",Brandon Wilson
,Brandon Zylstra\ZylsBr00,WR,CAR,"$570,000 ",Brandon Zylstra
,Braxton Berrios\BerrBr00,WR,NYJ,"$495,000 ",Braxton Berrios
,Brennan Scarlett\ScarBr00,LB,HOU,"$2,025,000 ",Brennan Scarlett
,Brent Urban\UrbaBr00,DE,TEN,"$850,000 ",Brent Urban
,Breon Borders\BordBr00,CB,JAX,"$570,000 ",Breon Borders
,Breshad Perriman\PerrBr02,WR,TAM,"$2,000,000 ",Breshad Perriman
,Brett Jones\JoneBr04,C,MIN,"$720,000 ",Brett Jones
,Brett Kern\KernBr20,P,TEN,"$1,800,000 ",Brett Kern
,Brett Maher\MaheBr01,K,DAL,"$570,000 ",Brett Maher
,Brian Allen\AlleBr02,C,LAR,"$570,000 ",Brian Allen
,Brian Burns\BurnBr00,EDGE,CAR,"$495,000 ",Brian Burns
,Brian Hill\HillBr02,RB,ATL,"$645,000 ",Brian Hill
1011,Brian O'Neill\ONeiBr00,OT,MIN,"$680,302 ",Brian O'Neill
,Brian Poole\PoolBr01,S,NYJ,"$1,000,000 ",Brian Poole
,Brian Winters\WintBr00,OG,NYJ,"$6,000,000 ",Brian Winters
298,Britton Colquitt\ColqBr00,P,MIN,"$2,700,000 ",Britton Colquitt
,Bronson Kaufusi\KaufBr01,DE,NYJ,"$645,000 ",Bronson Kaufusi
589,Brooks Reed\ReedBr00,DL,ARI,"$1,125,000 ",Brooks Reed
,Bruce Irvin\IrviBr00,DE,CAR,"$1,250,000 ",Bruce Irvin
,Bryan Anger\AngeBr00,P,HOU,"$930,000 ",Bryan Anger
,Bryan Bulaga\BulaBr20,T,GNB,"$5,800,000 ",Bryan Bulaga
,Bryan Mone\MoneBr00,DT,SEA,"$495,000 ",Bryan Mone
,Bryan Witzmann\WitzBr00,T,CAR,"$720,000 ",Bryan Witzmann
,Bryce Hager\HageBr00,ILB,LAR,"$805,000 ",Bryce Hager
,Brynden Trawick\TrawBr00,S,BAL,"$805,000 ",Brynden Trawick
,Bud Dupree\DuprAl00,DE,PIT,"$9,232,000 ",Bud Dupree
602,Budda Baker\BakeBu00,FS,ARI,"$1,085,910 ",Budda Baker
,Buddy Howell\HoweGr00,RB,HOU,"$570,000 ",Buddy Howell
334,Buster Skrine\SkriBu00,DB,CHI,"$2,250,000 ",Buster Skrine
,Byron Cowart\CowaBy00,DL,NWE,"$495,000 ",Byron Cowart
140,Byron Jones\JoneBy00,CB,DAL,"$6,266,000 ",Byron Jones
,Byron Murphy\MurpBy00,CB,ARI,"$495,000 ",Byron Murphy
,Byron Pringle\PrinBy00,WR,KAN,"$495,000 ",Byron Pringle
,C.J. Anderson\AndeC.00,RB,DET,"$1,000,000 ",C.J. Anderson
,C.J. Goodwin\GoodC.00,WR,DAL,"$720,000 ",C.J. Goodwin
,C.J. Ham\HamxC.00,RB,MIN,"$645,000 ",C.J. Ham
,C.J. Mosley\MoslC.00,ILB,NYJ,"$1,000,000 ",C.J. Mosley
911,C.J. Prosise\ProsC.00,RB,SEA,"$745,000 ",C.J. Prosise
,C.J. Uzomah\UzomC.00,TE,CIN,"$1,500,000 ",C.J. Uzomah
,Cairo Santos\SantCa01,K,TEN,"$805,000 ",Cairo Santos
35,Calais Campbell\CampCa99,DE,JAX,"$12,000,000 ",Calais Campbell
347,Caleb Benenoch\BeneCa00,OT,TAM,"$2,025,000 ",Caleb Benenoch
,Caleb Brantley\BranCa00,DT,WAS,"$645,000 ",Caleb Brantley
714,Calvin Ridley\RidlCa00,WR,ATL,"$975,487 ",Calvin Ridley
12,Cam Newton\NewtCa00,QB,CAR,"$16,200,000 ",Cam Newton
593,Cam Robinson\RobiCa00,OT,JAX,"$1,103,015 ",Cam Robinson
,Cam Sims\SimsCa00,WR,WAS,"$495,000 ",Cam Sims
,Cameron Brate\BratCa00,TE,TAM,"$7,000,000 ",Cameron Brate
,Cameron Erving\ErviCa00,OT,KAN,"$1,450,000 ",Cameron Erving
,Cameron Fleming\FlemCa00,OT,DAL,"$1,000,000 ",Cameron Fleming
84,Cameron Heyward\HeywCa01,DE,PIT,"$8,750,000 ",Cameron Heyward
,Cameron Johnston\JohnCa02,P,PHI,"$570,000 ",Cameron Johnston
,Cameron Jordan\JordCa00,DE,NOR,"$8,000,000 ",Cameron Jordan
996,Cameron Smith\SmitCa01,LB,MIN,"$702,500 ",Cameron Smith
1017,Cameron Sutton\SuttCa00,CB,PIT,"$677,400 ",Cameron Sutton
,Cameron Wake\WakeCa00,LB,TEN,"$3,250,000 ",Cameron Wake
,Carl Granderson\GranCa01,DE,NOR,"$495,000 ",Carl Granderson
