Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,QBrec,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
40,2019,2,40,Trayvon Mullen\MullTr00,CB,21,OAK,2019,2019,0,0,0,0,5,0,,,,,,,,,,,,,,,Clemson,College Stats
41,2019,2,41,Dalton Risner\RisnDa00,T,24,DEN,2019,2019,0,0,0,0,6,6,,,,,,,,,,,,,,,Kansas St.,College Stats
42,2019,2,42,Drew Lock\LockDr00,QB,22,DEN,,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats
43,2019,2,43,Jahlani Tavai\TavaJa00,LB,22,DET,2019,2019,0,0,0,0,5,2,,,,,,,,,,,,,,1.0,Hawaii,College Stats
44,2019,2,44,Elgton Jenkins\JenkEl00,C,23,GNB,2019,2019,0,0,1,0,6,4,,,,,,,,,,,,,,,Mississippi St.,College Stats
45,2019,2,45,Joejuan Williams\WillJo13,CB,21,NWE,2019,2019,0,0,0,0,2,0,,,,,,,,,,,,,,,Vanderbilt,College Stats
46,2019,2,46,Greedy Williams\WillGr00,CB,21,CLE,2019,2019,0,0,0,0,2,2,,,,,,,,,,,,,,,LSU,College Stats
47,2019,2,47,Marquise Blair\BlaiMa01,S,22,SEA,2019,2019,0,0,0,0,4,0,,,,,,,,,,,,,,,Utah,College Stats
48,2019,2,48,Erik McCoy\McCoEr01,C,22,NOR,2019,2019,0,0,1,0,6,6,,,,,,,,,,,,,,,Texas A&M,College Stats
49,2019,2,49,Ben Banogu\BanoBe00,LB,23,IND,2019,2019,0,0,0,0,5,0,,,,,,,,,,,,,,0.5,TCU,College Stats
50,2019,2,50,Irv Smith Jr.\SmitIr01,TE,21,MIN,2019,2019,0,0,1,0,6,3,,,,,,,,,,7,93,0,,,Alabama,College Stats
51,2019,2,51,A.J. Brown\BrowAJ00,WR,22,TEN,2019,2019,0,0,1,0,6,5,,,,,,,,,,14,273,2,,,Mississippi,College Stats
52,2019,2,52,Drew Sample\SampDr00,TE,23,CIN,2019,2019,0,0,0,0,6,1,,,,,,,,,,3,24,0,,,Washington,College Stats
53,2019,2,53,Miles Sanders\SandMi01,RB,22,PHI,2019,2019,0,0,1,0,6,4,,,,,,,57,199,0,13,219,1,,,Penn St.,College Stats
54,2019,2,54,Lonnie Johnson\JohnLo01,CB,22,HOU,2019,2019,0,0,1,0,6,4,,,,,,,,,,,,,,,Kentucky,College Stats
55,2019,2,55,Max Scharping\SchaMa01,T,23,HOU,2019,2019,0,0,1,0,6,4,,,,,,,,,,,,,,,Northern Illinois,College Stats
56,2019,2,56,Mecole Hardman\HardMe00,WR,21,KAN,2019,2019,0,0,0,0,6,2,,,,,,,2,1,0,16,291,2,,,Georgia,College Stats
57,2019,2,57,JJ Arcega-Whiteside\ArceJJ00,WR,22,PHI,2019,2019,0,0,0,0,6,1,,,,,,,,,,2,14,0,,,Stanford,College Stats
58,2019,2,58,Trysten Hill\HillTr00,DT,21,DAL,2019,2019,0,0,0,0,3,0,,,,,,,,,,,,,,,Central Florida,College Stats
59,2019,2,59,Parris Campbell\CampPa00,WR,22,IND,2019,2019,0,0,0,0,4,1,,,,,,,1,7,0,10,62,1,,,Ohio St.,College Stats
60,2019,2,60,Nasir Adderley\AddeNa00,S,22,LAC,2019,2019,0,0,0,0,4,0,,,,,,,,,,,,,,,Delaware,
61,2019,2,61,Taylor Rapp\RappTa00,S,21,LAR,2019,2019,0,0,0,0,5,0,,,,,,,,,,,,,,,Washington,College Stats
62,2019,2,62,Andy Isabella\IsabAn00,WR,22,ARI,2019,2019,0,0,0,0,5,0,,,,,,,3,16,0,,,,,,Massachusetts,College Stats
63,2019,2,63,Juan Thornhill\ThorJu00,S,23,KAN,2019,2019,0,0,1,0,6,6,,,,,,,,,,,,,1,,Virginia,College Stats
64,2019,2,64,D.K. Metcalf\MetcDK00,WR,21,SEA,2019,2019,0,0,1,0,6,5,,,,,,,1,4,0,16,336,2,,,Mississippi,College Stats
65,2019,3,65,Zach Allen\AlleZa01,DE,22,ARI,2019,2019,0,0,0,0,4,1,,,,,,,,,,,,,,,Boston Col.,College Stats
66,2019,3,66,Diontae Johnson\JohnDi01,WR,23,PIT,2019,2019,0,0,1,0,6,4,,,,,,,1,6,0,20,212,2,,,Toledo,College Stats
67,2019,3,67,Jalen Hurd\HurdJa00,WR,23,SFO,,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,College Stats
68,2019,3,68,Jachai Polite\PoliJa00,LB,21,NYJ,,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats
69,2019,3,69,Josh Oliver\OlivJo00,TE,22,JAX,,,0,0,0,,,,,,,,,,,,,,,,,,San Jose St.,College Stats
70,2019,3,70,Darrell Henderson\HendDa00,RB,22,LAR,2019,2019,0,0,0,0,4,0,,,,,,,7,39,0,1,9,0,,,Memphis,College Stats
71,2019,3,71,Dre'Mont Jones\JoneDr00,DT,22,DEN,2019,2019,0,0,0,0,5,0,,,,,,,,,,,,,,,Ohio St.,College Stats
72,2019,3,72,Germaine Pratt\PratGe00,LB,23,CIN,2019,2019,0,0,0,0,6,1,,,,,,,,,,,,,,,North Carolina St.,College Stats
73,2019,3,73,David Montgomery\MontDa01,RB,22,CHI,2019,2019,0,0,1,0,5,3,,,,,,,69,225,2,9,72,0,,,Iowa St.,College Stats
74,2019,3,74,Devin Singletary\SingDe00,RB,22,BUF,2019,2019,0,0,0,0,2,1,,,,,,,10,127,1,5,28,0,,,Florida Atlantic,College Stats
75,2019,3,75,Jace Sternberger\SterJa00,TE,23,GNB,,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats
76,2019,3,76,Terry McLaurin\McLaTe00,WR,23,WAS,2019,2019,0,0,1,0,5,5,,,,,,,,,,23,408,5,,,Ohio St.,College Stats
77,2019,3,77,Chase Winovich\WinoCh00,DE,24,NWE,2019,2019,0,0,0,0,6,0,,,,,,,,,,,,,,4.0,Michigan,College Stats
78,2019,3,78,Michael Deiter\DeitMi00,G,23,MIA,2019,2019,0,0,1,0,5,5,,,,,,,,,,,,,,,Wisconsin,College Stats
79,2019,3,79,David Long\LongDa02,CB,21,LAR,,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats
80,2019,3,80,Sione Takitaki\TakiSi00,LB,24,CLE,2019,2019,0,0,0,0,5,0,,,,,,,,,,,,,,,BYU,College Stats
81,2019,3,81,Will Harris\HarrWi02,S,23,DET,2019,2019,0,0,0,0,5,0,,,,,,,,,,,,,,,Boston Col.,College Stats
82,2019,3,82,Nate Davis\DaviNa01,G,22,TEN,2019,2019,0,0,0,0,3,2,,,,,,,,,,,,,,,Charlotte,College Stats
